"","Country","Year","Status","Life.expectancy","Adult.Mortality","infant.deaths","Alcohol","percentage.expenditure","Hepatitis.B","Measles","BMI","under.five.deaths","Polio","Total.expenditure","Diphtheria","HIV.AIDS","GDP","Population","thinness..1.19.years","thinness.5.9.years","Income.composition.of.resources","Schooling"
"128","Australia",2000,"Developed",79.5,78,1,10.17,347.18736,NA,108,58.2,2,9,8.8,9,0.1,2169.921,19153,0.7,0.7,0.897,20.4
"140","Austria",2004,"Developed",79.3,86,0,12.1,5316.877456,83,15,52.2,0,83,1.56,83,0.1,36693.4262,8171966,1.7,1.9,0.841,14.7
"141","Austria",2003,"Developed",78.8,88,0,12.2,504.4308735,83,90,51.7,0,84,1.48,84,0.1,3212.9355,8121423,1.7,1.9,0.837,14.7
"142","Austria",2002,"Developed",78.7,9,0,12.5,3979.057728,81,0,51.2,0,82,1.27,83,0.1,26351.37568,881957,1.7,1.9,0.847,16.1
"143","Austria",2001,"Developed",78.6,92,0,12.4,3582.848308,44,0,5.6,0,83,1.12,84,0.1,24489.73553,842293,1.7,1.9,0.837,15.5
"144","Austria",2000,"Developed",78.1,96,0,13.2,3557.455507,33,0,5.1,0,71,1.6,81,0.1,24517.26745,811566,1.7,1.9,0.833,15.4
"156","Azerbaijan",2004,"Developing",68.4,154,6,0.62,8.59680496,5,827,44.2,8,78,7.92,77,0.1,145.2163,8365,3,3,0.668,11
"157","Azerbaijan",2003,"Developing",67.8,154,7,0.55,42.41491183,51,1978,43.6,8,79,6.56,77,0.1,883.6439965,82341,3,3,0.659,10.8
"158","Azerbaijan",2002,"Developing",67.8,146,7,0.55,39.33253687,5,4353,43.1,9,8,4.47,76,0.1,763.73858,817195,3.1,3.1,0.651,10.6
"159","Azerbaijan",2001,"Developing",67.5,151,8,0.51,4.104190077,NA,574,42.6,10,77,4.48,77,0.1,73.6838434,81112,3.1,3.1,0.642,10.4
"160","Azerbaijan",2000,"Developing",66.6,16,9,0.65,35.09462644,NA,210,42.1,11,75,4.67,76,0.1,655.974326,8486,3.2,3.1,0.636,10.1
"188","Bahrain",2004,"Developing",75.2,83,0,2.16,1380.228095,98,11,55.6,0,98,3.37,98,0.1,15846.47641,NA,6.1,5.9,0.803,13.9
"189","Bahrain",2003,"Developing",75,85,0,2.16,1214.558167,98,12,55.2,0,97,3.74,97,0.1,14221.99259,NA,6.1,5.9,0.798,13.7
"190","Bahrain",2002,"Developing",74.9,87,0,1.99,106.4303336,98,8,55,0,98,3.89,98,0.1,1312.33457,NA,6.2,5.9,0.796,13.5
"191","Bahrain",2001,"Developing",74.7,9,0,1.95,1150.418063,99,5,54.8,0,99,3.8,99,0.1,12868.211,NA,6.2,6,0.794,13.3
"192","Bahrain",2000,"Developing",74.5,92,0,2.15,167.7270642,97,6,54.5,0,97,3.51,97,0.1,13636.34668,NA,6.2,6,0.786,13.2
"204","Bangladesh",2004,"Developing",67.3,158,185,0.01,4.11469667,11,9743,12,247,88,2.62,99,0.1,46.7579167,14137489,2.1,2.7,0.491,8.1
"205","Bangladesh",2003,"Developing",66.8,161,196,0.01,35.48458957,5,4067,11.6,264,9,2.51,87,0.1,432.7388972,139191,2.3,2.9,0.484,7.9
"206","Bangladesh",2002,"Developing",66.3,164,207,0.01,0.397228764,NA,3484,11.2,280,83,2.59,83,0.1,4.6135745,1366667,2.5,21.1,0.476,7.7
"207","Bangladesh",2001,"Developing",65.8,168,219,0.01,3.395069781,NA,4414,1.8,298,85,2.47,85,0.1,42.5981152,1341716,2.7,21.3,0.468,7.5
"208","Bangladesh",2000,"Developing",65.3,173,231,0.01,3.69633051,NA,5098,1.4,316,83,2.33,82,0.1,45.63371,131581243,2.9,21.5,0.459,7.3
"220","Barbados",2004,"Developing",73.8,119,0,7.68,166.0083443,93,0,46.2,0,93,5.71,93,0.2,12868.8639,NA,4.1,4,0.757,14.4
"221","Barbados",2003,"Developing",73.7,121,0,7.65,13.5139917,91,0,45.4,0,9,5.82,89,0.4,1228.5447,NA,4.1,4.1,0.753,14.2
"222","Barbados",2002,"Developing",73.5,123,0,7.59,133.099491,66,0,44.6,0,86,5.76,87,0.8,11675.39395,NA,4.2,4.1,0.749,14
"223","Barbados",2001,"Developing",73.4,125,0,7.38,138.1664627,18,0,43.8,0,93,5.47,84,0.7,11513.87189,NA,4.2,4.2,0.75,14
"224","Barbados",2000,"Developing",73.3,127,0,7.43,1140.615754,NA,0,43,0,86,5.16,93,0.9,11568.1111,NA,4.3,4.2,0.741,14
"236","Belarus",2004,"Developing",68.2,247,1,12.05,42.33443901,99,2,56.2,1,99,6.59,99,0.1,2378.33927,973146,2.4,2.5,0.703,14.1
"237","Belarus",2003,"Developing",67.7,253,1,11.17,23.83578594,56,21,55.8,1,53,6.59,5,0.1,1819.525644,9796749,2.5,2.6,0.695,13.9
"238","Belarus",2002,"Developing",67.2,262,1,12.23,145.4233629,99,14,55.3,1,99,6.47,99,0.1,1479.383142,9865548,2.5,2.7,0.687,13.6
"239","Belarus",2001,"Developing",67.7,254,1,10.74,14.06141699,93,45,54.9,1,99,6.62,99,0.1,1244.373185,9928549,2.6,2.7,0.681,13.3
"240","Belarus",2000,"Developing",68,247,1,12.98,24.24947846,7,21,54.4,1,99,6.13,99,0.1,1276.28834,997961,2.7,2.8,0.675,13.1
"252","Belgium",2004,"Developed",78.8,91,1,12.05,5160.508378,64,61,59.8,1,96,9.32,95,0.1,35589.71295,1421137,0.8,0.8,0.88,18.8
"253","Belgium",2003,"Developed",78.3,95,0,11.28,507.306164,64,44,59.4,1,96,9.3,95,0.1,3743.95693,1376133,0.8,0.8,0.878,18.6
"254","Belgium",2002,"Developed",78,99,1,11.29,320.3177664,6,0,59,1,96,8.46,95,0.1,2552.3328,1332785,0.8,0.8,0.875,18.8
"255","Belgium",2001,"Developed",78,1,1,11.01,2943.375396,6,83,58.5,1,96,8.29,95,0.1,23121.56635,128657,0.8,0.8,0.873,18.2
"256","Belgium",2000,"Developed",77.6,11,1,11.21,287.2084529,6,0,58.1,1,96,8.12,95,0.1,2327.4591,125125,0.8,0.8,0.869,18
"268","Belize",2004,"Developing",68.7,197,0,6.2,325.6807462,97,0,43.2,0,97,4.39,97,0.8,3831.53819,27689,3.6,3.5,0.691,12.5
"269","Belize",2003,"Developing",68.4,21,0,5.67,312.7995946,96,0,42.6,0,95,4.53,96,1.5,3679.99523,26913,3.6,3.6,0.684,12.2
"270","Belize",2002,"Developing",68.5,199,0,4.99,262.8299189,97,0,42,0,93,4.38,89,0.1,3556.561825,26226,3.7,3.6,0.678,11.9
"271","Belize",2001,"Developing",68.2,21,0,4.9,251.6586929,96,0,41.4,0,96,4.5,96,0.4,3419.275719,254984,3.7,3.7,0.677,11.8
"272","Belize",2000,"Developing",68.3,196,0,4.79,219.0239836,76,0,4.8,0,91,3.98,91,0.3,3364.423711,247315,3.8,3.7,0.668,11.7
"284","Benin",2004,"Developing",56.1,285,25,1.15,10.73628066,75,262,2.1,39,74,4.56,72,2.1,583.493514,7754,8.9,8.8,0.423,8.1
"285","Benin",2003,"Developing",55.8,285,25,1.35,8.931827297,73,217,19.7,40,75,4.63,73,2.1,519.2922847,752555,9.1,9,0.416,7.7
"286","Benin",2002,"Developing",55.6,283,25,1.23,40.48815233,15,1588,19.2,40,76,4.27,75,2.1,418.6985763,7295394,9.3,9.2,0.407,7.3
"287","Benin",2001,"Developing",55.5,281,25,1.29,45.33476384,NA,5859,18.8,40,77,4.69,76,2.1,378.73654,776733,9.5,9.4,0.395,6.6
"288","Benin",2000,"Developing",55.4,279,25,1.34,37.38182018,NA,4244,18.4,40,78,4.34,78,2,374.1923942,6865951,9.7,9.6,0.389,6.4
"300","Bhutan",2004,"Developing",64.2,263,1,0.96,2.586698228,89,3,16.1,1,9,4.41,89,0.3,197.45788,64282,18,18.8,0,8.8
"301","Bhutan",2003,"Developing",63.3,273,1,0.52,19.15664091,95,0,15.5,1,96,4.9,95,0.2,997.7417141,623434,18.3,19.1,0,8.4
"302","Bhutan",2002,"Developing",62.5,282,1,0.29,151.9755193,83,27,14.9,1,89,7.75,86,0.1,885.6382245,66399,18.6,19.4,0,8
"303","Bhutan",2001,"Developing",61.7,29,1,0.14,8.574029812,89,756,14.4,1,88,5.91,88,0.1,87.9387673,5896,18.9,19.6,0,7.6
"304","Bhutan",2000,"Developing",62,312,1,0.17,93.35872844,98,418,13.9,1,98,6.91,92,0.1,765.8632358,573416,19.2,19.9,0,7.3
"332","Bosnia and Herzegovina",2004,"Developing",75.5,99,0,4.25,3.479918859,36,28,49.9,0,87,9.4,84,0.1,265.642661,3781287,3,3,0,12.3
"333","Bosnia and Herzegovina",2003,"Developing",75.2,12,0,4.14,39.86518043,NA,18,49.4,0,87,7.94,87,0.1,2214.732246,3779247,3,3,0,12.1
"334","Bosnia and Herzegovina",2002,"Developing",75.4,11,0,3.84,151.1399301,NA,28,48.8,0,86,7.1,8,0.1,1761.537647,377587,3.1,3.1,0,11.9
"335","Bosnia and Herzegovina",2001,"Developing",74.9,113,0,3.85,143.2947487,NA,0,48.2,0,92,7.16,91,0.1,1524.41222,3771284,3.2,3.2,0,11.6
"336","Bosnia and Herzegovina",2000,"Developing",74.6,116,0,3.64,165.6168642,NA,43,47.6,0,87,7.9,85,0.1,1461.7552,376676,3.3,3.2,0,0
"348","Botswana",2004,"Developing",48.1,652,2,4.9,469.5823898,91,1,32.2,4,96,5.56,96,28.4,4896.583835,182933,1.5,1.4,0.58,11.8
"349","Botswana",2003,"Developing",46.4,693,2,5.51,299.3671252,9,59,31.6,4,96,4.65,96,31.9,4163.6596,184339,1.9,1.8,0.567,11.8
"350","Botswana",2002,"Developing",46,699,2,6.41,6.3300072,88,7,31.1,4,97,6.47,97,34.6,355.618382,1779953,11.4,11.3,0.558,11.9
"351","Botswana",2001,"Developing",46.7,679,2,5.48,306.9527349,87,1,3.5,4,97,5.73,97,37.2,3128.97793,1754935,11.8,11.8,0.56,11.8
"352","Botswana",2000,"Developing",47.8,647,2,5.37,250.8916484,86,2672,29.9,4,97,4.64,97,38.8,3349.68823,172834,12.3,12.2,0.559,11.7
"364","Brazil",2004,"Developing",72,17,81,6.85,186.6090485,96,0,46.9,93,99,7.7,99,0.1,3623.47667,184738458,3.2,3.2,0.695,14
"365","Brazil",2003,"Developing",71.8,172,88,6.95,15.85781237,97,2,46.1,100,99,6.94,99,0.1,359.587582,182482149,3.3,3.3,0.699,14.8
"366","Brazil",2002,"Developing",71.4,176,95,7,140.9824766,92,1,45.3,109,99,7.13,99,0.1,2819.649531,1815121,3.3,3.3,0.692,14.6
"367","Brazil",2001,"Developing",71,179,103,7.13,149.4802091,91,1,44.5,118,99,7.19,98,0.1,3146.95177,1777567,3.4,3.4,0.685,14.3
"368","Brazil",2000,"Developing",75,183,111,7.26,179.4777293,94,36,43.7,127,99,7.3,98,0.1,3739.11936,175287587,3.4,3.4,0.677,14.1
"380","Brunei Darussalam",2004,"Developing",76.4,89,0,0.11,1504.30004,99,16,3.1,0,92,3.1,92,0.1,21896.6527,NA,6.5,6,0.828,13.7
"381","Brunei Darussalam",2003,"Developing",76,89,0,0.12,1406.51194,99,24,29.1,0,99,3.9,92,0.1,18555.56649,NA,6.6,6.1,0.823,13.4
"382","Brunei Darussalam",2002,"Developing",74.8,95,0,0.13,941.7036868,99,0,28,0,99,3.4,94,0.1,16846.2198,NA,6.7,6.1,0.82,13.3
"383","Brunei Darussalam",2001,"Developing",74.7,19,0,0.47,1078.66244,99,11,27,0,99,3.6,97,0.1,16468.12886,NA,6.8,6.2,0.819,13.4
"384","Brunei Darussalam",2000,"Developing",74.4,16,0,0.37,11.79686108,99,42,26.1,0,99,3.5,99,0.1,188.44826,NA,6.8,6.3,0.818,13.4
"396","Bulgaria",2004,"Developed",72.2,157,1,10.96,384.1473028,94,0,59.1,1,94,7.9,95,0.1,3381.57837,771686,2.3,2.3,0.738,13.3
"397","Bulgaria",2003,"Developed",72,155,1,11.19,32.38616103,96,0,58.6,1,96,7.43,96,0.1,271.46824,7775327,2.3,2.4,0.729,12.9
"398","Bulgaria",2002,"Developed",71.8,157,1,10.2,33.26778134,88,0,58.1,1,94,7.41,93,0.1,287.534843,7837161,2.4,2.4,0.723,12.9
"399","Bulgaria",2001,"Developed",71.6,16,1,10.72,25.06262895,93,8,57.5,1,94,7.23,94,0.1,1764.97387,89142,2.4,2.5,0.713,12.9
"400","Bulgaria",2000,"Developed",71.1,163,1,9.69,15.2357274,94,46,57,1,94,6.7,93,0.1,169.28586,817172,2.5,2.5,0.709,12.9
"412","Burkina Faso",2004,"Developing",52.4,323,49,4.54,56.96108089,NA,77,13.7,91,83,6.45,79,2.5,371.323865,133569,1.5,1.1,0,3.9
"413","Burkina Faso",2003,"Developing",51.6,332,49,4.58,41.60951275,NA,2946,13.3,92,83,5.61,79,2.9,332.344351,12654621,1.7,1.3,0,3.8
"414","Burkina Faso",2002,"Developing",51,338,49,4.53,3.195566831,NA,1744,12.9,93,69,5.26,69,3.2,26.7635413,122931,11,1.6,0,3.6
"415","Burkina Faso",2001,"Developing",56,344,48,4.56,23.1016899,NA,4174,12.5,93,62,4.85,62,3.6,235.4912324,11944587,11.2,1.8,0,3.5
"416","Burkina Faso",2000,"Developing",51,348,48,3.71,19.83929597,NA,6074,12.2,92,45,5.6,45,4,226.4759814,1167942,11.4,11.1,0,3.4
"428","Burundi",2004,"Developing",52.6,378,24,5.72,11.22655347,83,2,13.8,38,76,7.1,83,4.8,127.4296648,7182451,8.4,8.4,0.279,5.2
"429","Burundi",2003,"Developing",51.9,387,24,5.84,6.545263634,NA,224,13.5,38,75,5.25,82,5.1,112.849373,6953113,8.5,8.5,0.276,4.7
"430","Burundi",2002,"Developing",51.5,387,24,5.98,9.660010196,NA,1016,13.3,39,74,5.15,81,5.2,122.4335893,6741569,8.7,8.7,0.268,4.4
"431","Burundi",2001,"Developing",51.3,385,25,6.09,10.61917585,NA,0,13,40,72,4.96,81,5.3,133.7427689,6555829,8.8,8.8,0.268,4.5
"432","Burundi",2000,"Developing",58,386,25,6.61,9.696689164,NA,18363,12.8,41,71,4.98,8,5.2,135.9984455,6476,9,8.9,0.268,4.5
"460","Cabo Verde",2004,"Developing",71.4,14,0,4.19,240.139715,91,0,23.7,0,94,5.6,93,0.8,1976.45856,467664,8.7,8.7,0.574,11.1
"461","Cabo Verde",2003,"Developing",71.1,144,0,4.16,209.0865,66,0,23.2,0,93,5,92,0.9,1768.92132,46147,8.9,8.9,0.572,11.3
"462","Cabo Verde",2002,"Developing",77,148,0,3.82,155.2072669,4,0,22.6,0,92,5.17,91,0.8,1373.515636,45216,9.2,9.1,0.569,11.3
"463","Cabo Verde",2001,"Developing",73,152,0,3.81,150.7434862,NA,0,22.1,0,91,5.19,9,0.8,1268.884564,443716,9.4,9.3,0.562,11
"464","Cabo Verde",2000,"Developing",69.9,155,0,3.49,122.5744699,NA,2,21.5,0,9,4.81,9,0.8,1239.377855,43579,9.6,9.5,0,11.3
"476","Cambodia",2004,"Developing",61.5,253,19,1.38,8.38611924,NA,352,13.5,24,86,6.43,85,1.7,48.615184,1363377,11.6,11.7,0.458,9.7
"477","Cambodia",2003,"Developing",63,268,21,1.44,55.59543946,NA,653,13.1,26,69,6.74,69,1.9,362.4213785,12853124,11.6,11.7,0.445,9.3
"478","Cambodia",2002,"Developing",59.3,273,23,1.43,30.91060554,NA,1361,12.8,29,54,5.95,54,2.1,339.676984,12634729,11.6,11.8,0.427,8.2
"479","Cambodia",2001,"Developing",58.5,273,25,1.71,27.68971051,NA,3761,12.4,33,59,5.7,6,2.2,321.22634,1242473,11.6,11.8,0.412,7.6
"480","Cambodia",2000,"Developing",57.7,274,27,1.51,0.328418056,NA,12237,12.1,36,62,5.87,59,2.1,3.685949,12152354,11.6,11.9,0.401,7.2
"492","Cameroon",2004,"Developing",52.1,412,59,4.71,7.177302132,NA,358,22.8,94,72,4.73,73,7.5,93.211716,1695981,7,7.1,0.455,8.2
"493","Cameroon",2003,"Developing",51.8,412,60,4.64,67.63925302,NA,899,22.3,95,72,4.97,73,7.7,824.8689393,16513822,7.2,7.3,0.452,8.1
"494","Cameroon",2002,"Developing",51.6,47,60,4.58,53.70597428,NA,1448,21.8,97,66,4.86,66,7.8,676.397661,1684886,7.4,7.5,0.452,8.4
"495","Cameroon",2001,"Developing",51.5,41,61,4.43,41.73629221,NA,23934,21.3,99,61,4.7,63,7.9,614.6729339,15671927,7.5,7.7,0.437,7.1
"496","Cameroon",2000,"Developing",51.4,394,62,3.91,4.720593531,NA,14629,2.9,100,57,4.48,62,7.7,68.414399,15274234,7.7,7.8,0.433,6.9
"508","Canada",2004,"Developing",80,77,2,7.8,5513.329924,14,7,6.6,2,91,9.56,91,0.1,31979.87195,31995,0.5,0.4,0.881,15.8
"509","Canada",2003,"Developing",79.7,78,2,7.7,4687.845565,14,15,6,2,88,9.54,91,0.1,28172.14883,31676,0.5,0.4,0.877,15.8
"510","Canada",2002,"Developing",79.5,79,2,7.7,3895.856308,NA,6,59.3,2,88,9.37,88,0.1,24167.8431,31362,0.5,0.4,0.872,15.8
"511","Canada",2001,"Developing",79.4,8,2,7.6,3665.089703,NA,34,58.5,2,88,9.1,89,0.1,23691.59472,31819,0.5,0.4,0.867,15.8
"512","Canada",2000,"Developing",79.1,82,2,7.6,3787.49456,NA,206,57.8,2,88,8.67,89,0.1,24124.16917,37697,0.5,0.5,0.864,15.9
"524","Central African Republic",2004,"Developing",45.7,512,17,1.5,41.50111735,NA,1233,17.9,26,45,4.1,51,12,313.21598,45536,9.9,9.9,0.315,5.7
"525","Central African Republic",2003,"Developing",45.7,51,17,1.49,46.11619441,NA,652,17.5,26,44,4.31,47,12.8,286.25819,3981665,1,1.1,0.316,5.6
"526","Central African Republic",2002,"Developing",45.6,58,17,1.47,31.5941587,NA,938,17.2,25,42,4.16,44,13.4,253.768343,397612,1.2,1.2,0.315,5.4
"527","Central African Republic",2001,"Developing",45.6,54,17,1.52,33.65315697,NA,2837,16.8,25,4,3.95,4,13.9,243.1586486,383223,1.4,1.4,0.314,5.3
"528","Central African Republic",2000,"Developing",46,49,16,1.51,30.78382657,NA,3207,16.5,25,38,4.24,37,14.3,243.5429317,3754986,1.5,1.5,0.312,5.2
"540","Chad",2004,"Developing",48.5,45,44,0.34,72.38451279,NA,10324,15.1,78,31,5.72,21,5.2,454.6765879,97143,1.7,1.6,0.301,5.6
"541","Chad",2003,"Developing",48.4,43,44,0.42,3.979243535,NA,15801,14.8,77,36,5.49,23,5.1,292.5914364,935321,1.9,1.8,0.284,5.4
"542","Chad",2002,"Developing",48.1,43,43,0.36,3.039691193,NA,7277,14.4,76,31,8.33,25,5,22.854821,91689,11.1,11,0.303,5.1
"543","Chad",2001,"Developing",48,4,42,0.3,26.87439074,NA,24908,14.1,75,26,6.9,26,4.8,197.3156442,866312,11.3,11.2,0.3,4.9
"544","Chad",2000,"Developing",47.6,44,41,0.25,21.52701616,NA,3546,13.9,74,3,6.28,36,4.6,166.231785,8342559,11.5,11.4,0,4.7
"556","Chile",2004,"Developing",78,97,2,6.32,78.78564878,NA,0,56.8,2,94,6.93,93,0.1,621.828325,15973778,0.9,1,0.781,14.3
"557","Chile",2003,"Developing",77.9,1,2,6.37,584.0993429,NA,1,56.1,2,96,7.34,96,0.1,4787.699532,15799542,1,1,0.775,14
"558","Chile",2002,"Developing",77.8,11,2,6.06,675.7808443,NA,0,55.4,3,97,6.48,97,0.1,4463.545867,15623635,1,1,0.768,13.9
"559","Chile",2001,"Developing",77.3,16,2,6.1,687.5116825,NA,0,54.7,3,96,6.51,97,0.1,4595.666327,15444969,1,1,0.761,13.7
"560","Chile",2000,"Developing",77.3,13,2,6.24,74.14842946,NA,0,54,3,91,6.4,91,0.1,511.368479,15262754,1.1,1.1,0.755,13.5
"572","China",2004,"Developing",73.5,11,360,3.04,1.58668462,79,70549,23.4,427,87,4.72,87,0.1,158.668462,129675,5.1,4.6,0.622,10.2
"573","China",2003,"Developing",73.1,13,391,2.96,122.9365349,75,71879,22.6,467,87,4.82,86,0.1,1288.642924,12884,5.3,4.7,0.61,9.9
"574","China",2002,"Developing",72.7,16,422,2.91,106.3590358,7,58341,21.9,511,86,4.79,86,0.1,1148.5857,1284,5.5,4.9,0.6,9.7
"575","China",2001,"Developing",72.2,11,457,2.84,14.23064496,65,88962,21.2,558,86,4.56,86,0.1,153.1824,127185,5.7,5,0.592,9.6
"576","China",2000,"Developing",71.7,115,490,3.06,17.46057369,6,71093,2.5,608,86,4.6,85,0.1,959.372181,1262645,5.9,5.1,0.583,9.5
"588","Colombia",2004,"Developing",72.8,148,16,4.26,42.17956418,89,0,49.8,19,89,5.37,89,0.1,274.249442,42724163,2.4,2.2,0.658,11.3
"589","Colombia",2003,"Developing",72.4,15,16,4.25,417.8038898,92,0,49,19,92,5.92,92,0.1,2246.257472,42152151,2.5,2.2,0.659,11.6
"590","Colombia",2002,"Developing",71.8,163,17,4.45,393.8773633,78,139,48.2,20,83,5.67,81,0.1,2355.725857,41572491,2.5,2.3,0.656,11.5
"591","Colombia",2001,"Developing",71.5,165,17,4.43,404.4205858,8,3,47.5,21,83,5.96,8,0.1,2395.856551,498899,2.5,2.3,0.653,11.4
